107,-22.67,71,9,-12,134,54,-6.39,89,82,-14,54.36,64.09,73,114,91,8,49,34,1.28,67,26.86,34.08,-24.71,141
9.7,-14,31,57.97,64.69,18.49,-33,37,-13.68,-0.03,19,29.02,71.48,-7.95,128,44.03,26,-44,74,138,-8,-14,135,-39,-18
41,110,-38,-7.19,131,75,92,-47,19,-45,103,10.35,31.73,-16.41,45.11,56.68,22,-6.56,18.34,32,-1,-3,24,58,-2.7
19,12.13,18,14,59,57.61,-10,81,73.07,23.34,46,-0.77,-47,8,-15,125,1.65,98,120,55.08,62.27,15.06,31.98,98,70.13
27.47,67,115,103,-23.06,-36,47,-2.33,66.73,-12,39.3,64.46,34,65.34,-10,41,84,30,-25,38.56,79,2.53,52,143,120
81,-10.49,-12.55,37,33,50,-5,19,50,55.94,8,121,61.28,22.67,58.25,-50,-15.01,-40,23,125,-34,15,28,-15.65,-41
-37,-11,126,142,52.31,73,-19.41,53.56,127,22,9,72.33,68,49,74.03,29.59,13.49,65,35,49.33,138,11.13,-7.7,14,43
-33,2,-45,-29,5.15,34,-11.35,2.92,-4,27.29,6.27,114,-27,41.5,55.23,25,125,57,71.4,30,53.64,14.78,54.78,35.27,40.79
66,55.18,30,85,80,53,125,73,16,52.13,36.64,96,81,50.99,122,-21.52,-20,-23,-16.66,-18,11.94,22.25,-7.05,-2,59
19.01,-14.76,-22,-11.61,128,-8.34,-18.75,17,47,142,33,-39,62.94,-1,-16.83,135,54.07,-14,-16.89,73.05,5.72,62,40.35,115,16
141,40.71,86,41,47,144,-39,14,22.68,54.71,22.81,-23,38,-3,79,36.48,-34,102,15,112,8.12,0,62.85,30.16,-9
-16.63,7,46,11.93,69.02,73,65.97,1,107,74.15,47.13,80,58.77,57,73.74,3.19,85,-15.48,28.47,5.41,19.99,50.73,21.48,8.7,-12.72
50.85,54.65,141,28.15,2.66,137,-50,-11.22,115,66,60,16.3,78,66,68,34,1.09,61.34,22.16,0,58,42.07,67.9,39.73,68.31
40.4,62,132,43.81,109,92,66.27,7.53,93,-6,53,31.38,29.83,13.99,-5,106,-44,-19.61,123,19,56.9,36.19,-16.22,66,114
12.4,128,21,30,-3.67,2.77,10,66.09,117,50.42,24,71,47.28,38,27.48,-32,17,7.19,143,12.97,59.8,92,60,81,116
38.78,-50,66.36,117,126,93,35,21,48.16,-8,54.87,32.2,-10,98,68,-1,34.19,-19,49.02,11.67,51.3,-11.28,72,146,132
