36,100,-23.99,-6.4,66
124,15.55,130,68.69,68.64
93,-1.49,28,7,-21.5
63,-21.61,43.93,63.69,25.23
109,53.53,50,20.12,-40
39,51,48,18.02,-12
99,76,54,31.68,44
67.06,-6,-32,-3,-41
98,36.71,57.28,14,6.15
136,-23,4.6,72.81,57.4
8,20,-6.33,111,-30
-15.6,42,63,-9.26,1
65.57,37,81,74,3.21
21.06,-6,18.37,16,-13.16
70,1,15.25,-16,-16.48
18.29,1.02,101,28,100
80,50,90,-1,36.43
31,-13.87,-33,82,-6
-18.17,100,9.72,-31,27
103,58.35,74.15,139,48.6
33.27,19,106,17.43,71
54,14.23,-13,105,36
126,-16,-16.56,120,19.43
75,63,-19.94,67,-2.39
-19.94,16.08,-8.18,42,56.99
111,56,-22.34,135,-43
-23,46.47,33.84,10.57,65.18
91,63.1,30,56.47,2.91
68.86,115,8.04,22.33,-10
115,-4,27.82,92,-10.92
46,16.2,2,125,74.77
138,3.17,47.93,117,142
24.42,130,-15,-7.94,141
34.29,58,16,131,-31
12.28,103,28,36.18,44
106,84,43,-18.47,38.61
28.75,26.78,91,-4,22.36
85,88,-4,137,129
28.9,-23.88,88,52.05,61.76
18.99,7.11,25,31,16.89
10,-1,64.08,16,-24
-18,4,104,-7.55,6
-25,7.92,62.22,41.95,-17
93,72.32,147,34.73,89
41.14,-9,-2.79,85,32
92,149,26.14,-40,85
62.98,13,44,14,-26
9.79,19.72,119,7.43,61
43,-1.66,32.68,29,133
99,-4,41,-36,4.36
110,83,7,-8.23,-1
76,11,-18,136,6.32
30.94,-8.53,-48,-10,23
17,67.63,-3,51.01,53
-17,115,46,92,4.3
15,136,56,16.15,-2
7.12,65.88,113,50,4
-30,25,24,57,-43
142,-47,1,135,-50
69.6,37,111,19.69,29
-36,22.17,39.42,14,29
28,48.95,144,143,34
48,32,-3,-47,2
67,49,140,64.93,58
69,141,39.24,66.54,50.68
-1,61,-22,-48,44
129,74.05,23.05,-20,72.53
-12,66.58,43.18,84,-6.43
13,80,-35,-18.32,-44
29.59,-23,21.55,146,-45
41.92,43.6,-2.53,62.35,26
-23.52,121,79,-45,37.39
120,134,8.35,-22.56,85
47,98,130,7.62,-31
106,38,-40,52.79,42
-26,6,-14,68,108
82,95,-15.68,-48,-22.38
114,-31,44,-24,-15
44.56,42,2.45,-45,44.31
40.08,-2.01,13,-46,70
26.93,-17.34,44,-17.19,-22
104,5.24,50,26.15,79
3,-4,132,2,111
38,25,35.39,72.55,-38
141,-5,59.99,-23,72.43
13.96,9.03,38.83,-32,-25
-18,56.84,63.95,-15,-9.39
71.26,-48,87,138,-15
-12.8,64,56.03,41.06,48
-46,-48,19,43.21,72.45
58.67,20.68,106,7,68
49,-7,106,15,38
-23,7.06,-13.2,141,115
80,60,-0.89,60.08,-12.12
15,137,103,-13.45,-22
9.53,-12.19,113,66,45.96
87,32.11,21,106,104
59.87,-15.27,13,-1.44,28
50.34,139,71.91,75,84
3,-35,48.72,72.04,31
