141,26.3,-45,30,70,39,-29,127
50,6.92,23,-23,120,26.85,52.57,50
54,10.63,5.2,-25,21.37,70,-38,-21
11.91,144,84,40.14,32.92,-4.97,4,4.02
-23.92,144,1.37,-15.95,15,-1,33.87,61
-23.41,-24,13.77,28.49,14,44.5,28,92
44.88,82,53,-8.29,23,-20,88,-0.67
36.88,-31,-46,39.24,69,-31,-23,19
12.27,24,20.31,97,-24,41,23.73,115
88,2,47.97,60.25,54,122,67,104
-5,18.8,35,73.34,65.67,99,21,136
127,35,39,18,12,119,48,61.18
1.82,72.86,79,126,67.76,103,45.03,3.47
73.82,30.17,1,130,124,63,68,28.68
-19,43.69,-18.72,-10.8,27.59,-8,5,115
17.77,81,109,86,74.08,146,20,128
20,115,17.11,2.25,45,30.74,62.57,-16.88
6.7,28.35,-8.68,43.23,-19,51,37.16,-29
-18,49,-11.14,-33,33.06,60.71,135,11.99
33.76,-16,10.91,-4.96,-7.65,122,7.53,59
60.45,109,98,71.09,15.68,149,-8.5,85
72,134,57,109,-25,137,113,53.81
8.5,96,-15,28,62,65,57.3,50.34
-45,-15,4.38,61.89,66.41,73.01,-32,79
-12.3,39.39,45.97,56,44.47,36.73,31,13
50,116,117,31,-16,52,-46,-11.51
54,4.39,117,124,89,54,-19.17,64
86,41.82,106,46.42,49.58,-41,80,8.74
38,-21.64,71.11,113,69.38,5.33,-36,-13.07
14,99,60,-10.7,-43,-25,66.95,-12
35.5,0,71.16,2.73,9.73,-7.62,73,29.68
58,74,50,-0.77,7.02,36,3.13,115
52,111,-22.06,-9,-22.14,15,51.61,-14.35
134,130,88,-35,-8.56,122,-6,49.32
12,139,61.07,6,149,-50,-43,7
67,26,129,-14.18,-34,63.72,20,-43
110,-0.64,26,-37,-3,2.59,64.52,53
27.97,-14,107,104,22,57,-9.3,-46
62.84,-41,-31,-36,0,-16,57.11,-40
16.47,4,47,31.02,24.91,71.74,-4.13,30.97
135,56,-33,110,31,49,27.13,15.97
68,18,-8.64,-7.21,84,-19,40,62.01
-23,-46,-13,43,87,-17.2,7.22,134
27.41,-20,106,11,33.06,25,26,-14
48.17,95,6,74,38.37,-5.09,-15,34.63
15.63,14.73,31,-4.44,91,126,129,17.35
-40,-8.41,57,133,131,17,12.86,-15.82
56,31,-44,3,30.98,63.86,24,48
-15,13.78,-14.22,-26,47,-4.93,38.53,1.9
-10.79,-10.03,-12,-26,-23,-30,-48,9
-4,126,24.15,31.89,-17,145,7.46,52
