-28,-36,2,63,32
134,37.76,0.23,11.03,136
-47,130,-7.66,53.09,34.64
146,-14.38,14,40.84,34
126,92,-11,-1.05,-10
86,1.92,-27,8.66,125
35,18,-24.06,-24.56,-7.64
95,63.13,132,109,23
52.25,-15,16.28,91,23
39,60.43,-10,10,-4
3,50,69,73,144
-1,-15,-9.27,4,-0.2
71.51,104,14.65,11,-46
-3.51,76,40,-43,37.93
76,14,-30,-36,-16
14.7,147,32,71.46,46
54.17,6.33,6.34,88,-8
126,128,146,24,47.25
129,-19,99,143,112
6.98,1,-49,28.07,72.16
149,145,133,-23,-27
126,49.89,49.08,46,51.23
52,-20.89,-17.42,-25,147
33.5,56,15.05,38,100
102,-34,51.31,66.27,53
47,62.1,138,37.79,-16.04
-1,44,27,90,39
47.46,-46,69,46,19
128,79,19,127,61
2.82,-3.65,-44,-35,26.71
2.33,63.14,33.78,85,33
76,34.99,1.35,-4.07,-37
31.53,38.37,8,9.11,-24.82
60.72,-26,-11,-40,-21
-5,-18.5,59.14,40,49.62
-40,128,19,-46,3.13
-9,6.64,26,55,54.33
54.59,107,11,-22.25,-43
131,46,27.62,-0.04,62
105,66.4,74,-19.38,2.31
47.56,46.08,-12,73,55.27
72.75,54.24,103,15.63,105
99,99,-9,-2,128
-4,-35,1,146,122
97,51,123,91,3.89
39.26,82,114,36,24.7
93,55.2,-18.05,85,54
120,76,98,140,109
-35,-38,84,-26,64.85
9,-11,65.77,-48,142
-4.27,-0.63,44,-13,33.22
114,131,80,56,-11
56,1.88,107,45.08,-21
95,-5.75,47,40.98,-33
-39,-25,16.92,69.79,30.2
-15.28,36.53,-24.62,45.04,25.67
-20.73,29.11,23.41,11,146
36.82,-11.23,38.1,-6.3,65
-4,-14,-0.61,35.15,11.75
-22.02,0.58,-29,-19,-24
-3.16,31,31,8.76,74.63
82,69,104,21.81,10
28,62,117,81,17
43.34,40,105,-23,-10.23
74.28,135,13,39.92,62.78
135,41,37.16,-7,-49
101,-31,-6,129,10
-7,6,41.84,5.92,64.87
4,93,10.13,64,42
58.7,41,52,-1.25,26.99
-43,50,145,79,-37
73,-23,46.49,33,11.9
102,52,19.93,70.77,22.52
7.54,33.33,-20,78,-26
42.92,131,132,32.86,137
-8,136,103,97,38
9,80,89,148,59.52
88,-44,2.75,149,15.97
36.79,-5.62,-4.13,-22,22.6
94,66,31.1,30.08,137
-26,-49,130,24.51,71.28
61.58,49,121,-39,-30
53.22,60,59.85,35.23,1
61.72,46,-3,14,64
-28,-22.52,39,34,49
-5,96,89,147,-2
15.76,56.51,2.45,46,132
41.12,40,34.84,142,61
46,57,56.82,-37,-3
38.1,4.77,-44,65.64,55
48.77,127,0.74,21,19.29
142,115,28,117,52
78,57.8,22.25,35,45
68,-5.25,68.85,57.75,81
12,-30,104,27,58
1,-24.26,-6.42,-15.34,-0.37
-19.08,132,54,-21,30
88,84,34,130,1.9
10.33,80,2.4,-37,46.52
130,39.37,42.67,-14,-42
