33,-14,99,-23,-31,115,-46,28,94,91,25.36,65,42.57,-40,-16.01,91,17,20.17,24.72,70.06,95,74.02,41.39,-0.81,88
-17.85,45,31.01,74.3,-15,93,51.16,113,-16,135,-7,90,27,14.02,108,82,29.02,39,-23.27,43.61,-49,70.98,-13,51,38.91
2,-18.47,63.65,64.59,-43,24.15,56,58,-16.22,74,-9.3,32.79,63.94,12.96,133,116,103,47.09,41.22,-11.36,-31,119,-3,69,-48
35,-43,21,-5.53,18,32,7.72,118,-2,-17.03,56.42,109,-15,-44,100,35,111,29.3,4,48,90,-22,28,112,118
63,-9.83,-11,128,14,15,11.02,53.44,2.5,130,29,6,-37,27.12,10.39,-46,-13,130,-10,86,-3.86,59,-17.48,93,52.24
-42,27.32,-32,-44,-2.06,42.54,28.82,-47,15,81,38.45,98,29,69,45,-17.14,21.71,91,10.05,51.5,73,33.8,51.34,141,144
84,17.11,134,-26,49.31,128,111,-16.3,65,26,92,78,-20.85,41,71,52.9,22.33,-36,41,-14,122,43.17,12,-2,11
89,68,52,26.05,39.3,21.43,72,6.9,18.45,-42,58,144,-33,135,94,105,-10.96,-5,28.02,142,55,-2.98,36.71,60.94,54.61
57,111,26.04,104,10,137,31.34,59.71,5,44.23,-19,-27,67.38,125,-22,69,40.15,-8,-12,20,-38,19.43,65.1,32.92,40.54
66,134,25.55,128,45.76,21.08,-27,9,61,-7.98,8.06,117,-43,50,23.78,30.92,45,124,16,54,46.94,-22.82,117,-3.96,-37
93,17,25,33.57,-3.56,64,64,18,60,84,42.87,8.91,-22.75,6.52,108,10.5,71.33,65.15,-0.84,-11.66,24,43,-7.61,17,1
65,92,140,110,70.03,14.36,112,15.24,66.26,26,63.87,52,8.68,140,75,41.94,27.02,11,71.56,38,14,62.2,35.71,4,26.03
107,-37,-25,12,31,12,70.45,-17.81,-23.53,20.14,-48,82,111,-23.82,126,56.77,63,-13,82,-11.02,55.79,0.73,52.19,21.83,58
22.45,13,42,-3.01,-24,-3.35,9.84,-30,-45,20,46,43,50.41,72,3.63,58,126,-2,108,-0.76,-41,24,-14.26,24,38
5.49,47.37,-11,-31,17,45.56,-6,53.04,35.78,38.56,46,67.84,23,-16,-10,51.2,61.35,121,29,45,68.73,0,-9.12,81,33
127,21,-29,-22.18,10,131,67,-8.19,54,-46,44.47,73,149,42.2,32,64,-14.38,-50,-21,-4.91,-36,12,32.26,1.82,49
68.67,34.49,-30,136,-40,28,12.04,12,7.46,44.21,40,115,34,51.66,5,27.11,-1,-24,34.85,-3,20,63.1,71.95,43.25,-7.2
12,81,29.65,15.77,119,-7.45,-14,9.31,4,4.45,69.68,108,102,121,31.15,-18,30,11,50,33.71,51,43,-32,107,-25
39,58,95,-6,70.19,-34,10.98,62,0.79,124,-18,92,47.53,40,6.13,119,30,25,39,48,16.37,131,29.31,-8.1,47.6
-32,5.96,-50,33,9.64,103,55,11,80,89,88,147,31.72,121,45,-14,-21,-15,130,114,-38,56.67,102,0.08,24
69.19,23,-38,136,35,22.43,13,-37,53,115,94,-2.06,45,129,28.11,143,61,76,27.33,41.82,53.29,30.54,43,-1.32,-50
108,-1.81,6,95,-23.58,73,49.73,7,70.08,63.75,17.92,30.78,58,67,66,-13.7,120,41.91,27.77,49,11,80,-41,11.87,7
69,-13.67,103,20,131,67,-22,62,136,44,42.31,79,-2.34,68.71,59,7.43,116,125,1,89,9,17.32,46.1,-40,-2
120,101,49,86,26,3.34,11,43.05,-22.53,40,46.22,74.61,35.69,1.74,1.09,127,8.76,58.1,13.08,81,-8.72,67.89,22,9,44.9
9,59,49,-42,1,1,-43,-21.24,85,67.34,-20.09,121,-25,21.18,70.6,127,3,141,4.74,-44,-25,-8,-2,45,73.17
21.53,122,63,98,-26,4.68,56,-12,-24.01,144,16,-5.53,39,9.42,112,-27,35.07,-2.58,13,19.4,50,84,56.76,90,81
9,27.85,25.4,61.21,55.91,71.17,118,42.78,-36,-16.13,39,68.55,-9,-9.95,-13,52.1,78,68,100,113,48.52,-5.49,27.17,132,14
33,-3.35,-15.85,70,-11,45.26,135,-11.24,116,50.22,20,33.61,79,4.62,137,31.95,38.9,-19.78,2,17,74.35,-45,61.89,21,-7.44
66,-5,8.08,30,-28,33,43.57,-11.01,112,1.74,50,9,35,136,28.57,91,56,-4,41,-13.41,28.5,131,37.59,-33,-4
92,20,63,83,-17.86,-10.35,0,28.85,35.76,121,-33,27,21.66,91,74,-24,126,40,5,-30,-20,-41,106,72.22,139
-3,99,-29,7.86,50.03,-10.2,37.59,49,-7,75,2.91,110,60.13,119,67.58,19,11.47,118,54.28,-44,113,-12.73,135,76,90
64.62,36.67,-31,43.17,-36,64.8,-40,22,85,-22,-17.77,41,80,-14,-36,120,24,15.31,41.08,-16.39,109,25.81,62,74.95,-7
89,134,9,97,-4.57,-5,83,62.75,66.44,-8.3,-33,-21.33,38.98,45.2,15.9,-1.5,32,-27,71.32,104,-2.88,-9.14,51,-15.19,2.67
67,-16.26,26.24,12.67,25.35,-40,33,48.52,-23,93,75,-17.4,-49,-19,38.17,45.56,-20.08,64,-22,44.63,31.66,-14,-23.33,7,6
-43,-36,3.78,70,-17,130,113,27,42.63,7,41,-15,-26,20.15,118,-19.35,16.15,-43,143,100,78,109,-29,-0.08,9
4.81,-4.83,95,19.36,-1,-39,117,83,91,78,52.71,12,71.2,129,43.17,-22.43,1,-0.34,-26,19.98,142,128,42.17,47,79
37.09,-35,50.61,39.14,95,91,39.77,-34,136,34,53,12,31.24,72,21,33.65,86,102,66.69,3.11,68.95,132,62.15,131,-41
28.04,43.75,23.75,70,2.6,124,76,36,27,49.37,147,-47,26.99,122,7,-40,116,48.71,10,-9,61,73.3,70.64,37,14.7
-50,126,141,-49,-40,42,148,70,48.11,75,59.86,132,77,13.21,71.78,59.79,51,126,6.33,61,65,58.02,92,-24,30.25
25.21,-13,-20,-40,63,-26,9,0.35,27,13.08,128,47.31,35,-4.95,124,16.34,-45,-9,106,-49,16,7,6,9.65,-27
-32,17.71,-49,146,100,51.62,76,145,7.2,-18.9,130,20,-5,71,-24.09,54,45.23,69,134,-42,53.72,98,27.34,134,57.83
-37,-15.54,112,25.53,93,26.22,51.04,21.59,-21,-12.56,-13,67.81,0,1.71,-11.82,31,-5,42,132,64.65,123,59,78,-39,65.95
49,81,41,9.22,134,44,122,72.27,74,64.9,47,60,-24.67,83,-2.53,66.25,35,64.45,126,4,-43,9.71,49.36,15.03,39.97
18,78,53.02,18,144,114,-41,64,104,18.23,13,-50,-18.05,85,139,20,73,34,127,-15,56.16,95,114,-1.52,36.32
