95,85,48.49,-17,59.03,-24.28,42.6,11
52,1.04,26.46,-6.27,45.12,-32,-45,22.53
-2.16,-14,-16,34.08,-14.54,15.15,44,112
23,-5,135,-21,61.03,85,38,27
64.39,-24,111,-8.56,32.87,42,-49,72
9,3,-7.24,123,-12,89,-31,-9.51
-12.34,68,117,91,81,-19.42,7,-50
-27,4.59,35.9,94,39.56,38.81,114,-39
121,43,48,22.03,-3,39,17,106
27.45,-0.86,40.49,-0.96,-4.8,2,-25,21
60,120,37.63,2.14,13,-14,135,49.97
47.6,30.3,4,-21,47,45,61.43,-4.85
30,25.44,29.66,71.38,31,28,-13,-20
101,46,52,115,-24,68.61,-7.13,28.5
-20.26,43.77,-39,-19.01,5.03,41,37.14,144
10.34,108,-14.58,14,90,17,-21,100
42.76,82,135,47.76,143,50.95,79,82
-2,3,12.3,-14,24.57,118,37.26,60
19,18.38,116,128,-1,-41,36,37
48,93,40,-45,16,-21,8,-14
-1,-9.42,118,-19.54,134,135,58,58.34
60.99,57,37.48,85,50,23.11,136,16.66
49,-46,-43,34.67,65,10.42,72.11,12.33
93,109,63.17,135,57.72,30,8,-8
11,59,1.58,6.57,-39,-6,74,10.19
10.3,20.5,-48,72.56,-32,45,-5.2,39.74
25.35,144,86,112,-12.27,29,134,36
5.06,-18.34,1.85,73.08,124,120,-20.56,118
65,-23,129,35.74,130,34.64,6,44
-48,3,103,-21.48,115,75,-21,22
-3,9.43,67.5,6.91,27.29,68.8,64,7.68
-21,11,19.56,57,109,148,132,144
119,-16,-6.77,-19,-38,56,16,38.39
-2,38,18.34,39.73,-15,23.37,20.16,29.39
-50,50.32,4.59,67.38,92,50,10.43,24.85
74,33.07,89,64.15,97,42.14,37.87,65
46.24,-26,144,-30,117,12,51.45,-18.09
133,76,-38,-17.43,4,72.43,-0.77,-37
133,1.94,43.76,58,-15,17.11,57,116
145,84,-6.08,146,109,51.61,132,141
108,68,-2,131,46.28,44,5,11
-20,43.76,-48,-29,-9.97,-24,-29,74
62.79,58.6,46.68,3.83,71.45,-23,23,16
2.43,85,47.92,-24,134,-14,39,-1.26
0.39,-14.29,54.93,3,-6,51.3,23.51,-21.29
4.67,15.62,55.77,3.31,38,128,127,2.4
112,-17,-12,64,17.07,-37,58.73,117
72.42,21,16,33,7.35,93,22,0.5
-4,7,45.83,-14.4,-5,136,63.82,21.24
64.02,1,112,10,36.64,6,11.5,97
54.89,-9.81,29,-32,-6,4.06,134,-14
102,80,134,-18.45,22.55,-24,19,148
12.92,147,2.01,-46,35,-26,40.63,35.87
130,3.09,0,-24.03,43.6,-30,9,0
100,21.44,37.74,145,121,140,53.87,51
146,27.67,-2,25.52,143,34.63,6.85,-21.88
55,-34,-25,-13,132,35,-9,38.62
46,74,46.59,68.79,134,-19,27.55,105
133,18.19,7.27,49.45,-25,129,128,13
125,31.41,39,43.5,-46,-5,55,8.69
37.49,-28,-5,-13,59.57,56.7,-33,109
27.18,145,102,21.88,79,112,-7.07,-6
3,-39,29.05,83,-8,-41,64,0
35.61,29,-24.38,96,-36,134,-49,-7
50,30,-35,70.98,36.66,-12,45,-50
-7,32,99,57.34,5.85,10.52,22,34.66
67,11.29,11.05,131,-24.46,1.78,44.17,50
85,14.28,13,-4,43,100,8.11,69
101,95,24,24.38,67.48,23,-9.1,-39
46,81,32,47,-7.27,45.44,0.04,-3.43
45.88,91,44,70.52,-1.86,10.8,25.28,-7
99,46.09,11.13,-9,-18,34,34,133
-11.48,87,90,-23.63,62.81,26.96,-1.75,-22.17
-29,44,46.74,48.23,-28,1.91,-12,-48
-4,19.41,111,32.73,-35,19,68.22,72
