2,21.96,35,-21,1.84,105,-11,33.84
112,130,-4,133,16.23,50,10.2,75
30.6,60.73,145,119,28.48,-20.06,64,128
0.16,17,142,-21,35.18,-21,12,-29
15.93,49.99,-36,106,-10.98,8,30,140
83,-18.55,57,67.31,13.66,91,138,10.39
-8,93,24.25,95,-20,115,-23,13.24
78,145,17,120,37,-13.65,123,117
63,17.81,-29,24.76,-36,11,-35,68.38
5,31.42,27,148,-17,40.97,24.8,29.83
62,-44,7,-5.19,-18.09,1,-28,24.46
72.5,67.95,22,-17,101,132,19.43,7
-12,48.05,-49,64.32,115,-24,66,61
9.62,53,73,-10.37,115,27,83,41.28
23,-34,-26,2,70.74,141,123,-29
80,73,111,-3.99,19,-28,2,67.43
129,62,39.43,99,59,62.29,2,32.91
-1.64,28.37,-0.81,-24.81,50,67,15.55,4
47.95,127,-21,123,89,129,14,72.76
37,39.38,47.82,-38,32,27,78,67.99
74,-15,-35,17,147,2.57,-21,86
17,55,130,13,35,9,-3,20
38.66,-48,140,117,68.56,118,79,70.77
20,91,113,114,115,-6.89,62,76
-10.46,15.92,4,-10,57,54.23,58,50
112,35.66,63,58.32,98,-10.89,21,28.35
81,23.84,70.79,-7,146,-45,136,-42
85,98,41.06,31,-5,17.21,108,-14
14,74.67,100,62,22,66,65.45,96
46.32,59.39,64.01,115,38,80,143,-16
-25,88,88,71,7.74,-4.19,70.22,138
-29,117,35.04,99,46.21,-37,103,43.79
-2.67,-3,77,-35,47.11,-10,61.67,72.33
139,37,125,44,60.1,102,-29,37.18
102,3,76,-36,13.71,145,50,122
49.56,106,16.75,72,45,-29,103,-32
-27,44,142,69.21,52.86,-25,-0.89,-3
5,70.15,21.69,70,22,131,139,1.04
14,68.58,49.57,7,-6.48,-12,120,52.32
-22,146,-40,11,-44,103,25.62,-39
-31,54.69,-14.71,32.18,-28,-8.92,16,9
44.45,7,25.05,9,-13,6.47,10,-7.3
113,-13.14,27.03,-33,0.33,60.14,-20,60.41
-23.47,35,137,2,13.7,-10,136,-40
40.97,37,2,68,-44,26.51,71,53
68.4,73.53,86,20.26,19.82,9.75,27.03,7.16
0.69,100,-30,67.84,-36,111,17.08,-5
-24.4,132,109,-21.85,57.69,23.49,23.73,-10.19
8,17,97,109,74.43,-5.5,-40,-12.43
6,131,-16.3,49,-31,-12.79,58,97
20,-24.92,-23,44,51,129,4.09,71
-22.44,94,-20.51,21,39.68,-17.49,45.96,136
55.03,57.75,55,10.55,109,16.05,100,70
34,104,58.11,-7.98,-14.92,-39,86,68
