5,96,16,5.13,20.68,37.76,-21,60
36,70.19,148,1,48.69,19.24,39.5,41
42.44,109,64.54,2,137,126,46,17.76
6,-35,-47,35,16,-13,-10.05,9.43
69.81,132,-3.78,57,99,40.82,8.66,-37
64,148,56,22,-6,33,-18,-24
70.65,61.36,39.48,76,22.02,51,42,21
130,73,-36,-7.7,62.84,55,-44,-49
14.34,9.86,128,12.46,26,-50,2,102
74.22,65.57,-42,0,140,54,3.93,48.43
32.74,20.57,45.99,104,44.78,9.98,-28,35
111,86,90,60,-1,45,13.99,-8.53
7.59,63,15,23.92,51.96,36.4,54.67,73.79
139,-24.58,70,29.17,1,144,-7.43,-13.37
-1,126,36.43,122,49.88,-6,-0.54,17
73,64.33,-20,50.33,51.07,-26,49.04,29
63,123,58,-48,4.76,12.73,55.32,75
68,45.73,147,146,-29,127,113,-8
-43,56,10.52,65.54,87,-2.13,51.98,41.63
72.71,69,57.28,-1,147,110,9,80
38.14,31,36,48,74.03,-42,2,68
6,21,80,78,67.41,58,70,146
35.3,119,54.55,5.8,-38,28,58.05,114
19.72,-2,39.52,-14.43,11.69,13,21.23,17
85,-15.79,13,137,40.09,66.83,-5,-0.03
17.61,1.87,-1,-41,67,-16.38,-32,-3
-12,12.77,33.06,121,40.07,21,19.84,28.42
91,-50,-2,17.88,141,-6.31,1,-0.31
140,79,80,83,-43,54.45,56.18,31
8.04,92,11,6,-2,18.13,-21,-24.15
63,22,9.27,-36,0,31.57,-23.71,16
29,137,76,3.07,47,-6,98,-1.22
20,31.16,100,56,4,-2,-6,42.87
-23.12,15,132,54,81,69.38,14,-8.19
-18,71,35.64,112,35.65,63.11,127,43
-36,6.67,9,66.4,-17,41.79,124,140
120,28,79,14.54,24.52,59.57,-16,0.84
9,-3.11,-44,-6,-6.97,28,47.07,55.41
-48,147,67,-9.24,71,-24.93,41.92,-8
63.41,3.51,-11.82,41.78,104,8,57.85,-25
-45,62,16,52,45.06,-13.48,84,40
6.18,50.72,40,39,18.84,65.28,-17.44,137
26.58,-15,138,0,131,20.66,5,53
27.78,13.2,84,45,-4,20,54,33.53
43.4,130,50,3.71,45.2,56.04,37.15,-19
58,28.97,64,-16,37,-20.47,27,83
4,67.78,35,139,58,-2,-44,46
63.46,-22,34,137,31.37,8.13,15,114
84,-6,61.2,7,-7.67,-19.15,-39,-48
54.8,142,-5.8,-1.39,26,101,-35,45.04
19,-12,108,-26,7.84,-12,127,34
-50,22,35,27.8,-7,27.23,103,26
