-2,83,12.12,103,51.3
-17,96,36,-7,52.66
109,47.34,28.26,-7.72,133
-9,85,-39,47,-1
87,-49,-30,36.06,-20
144,70,75,38,104
67.87,34.2,48.86,109,-22
59,129,-16.6,143,37.96
-2.3,-8.54,18.89,62.91,33
47.85,-20.41,74.12,-32,6.41
-12.54,50,-3.31,61.42,39.88
-5.27,18.95,44.55,79,31.18
-17,80,120,64.31,57
69,65.36,94,46.01,2.04
42.43,24.78,-8.58,77,63.66
1.23,66.45,74,61.25,65
15,53.6,-19.43,-43,-46
-48,19,36,117,55.2
-20,138,141,127,1
28,13.94,143,-19.99,54.86
24.32,51,115,82,11.82
-2,-47,137,119,111
105,33.58,18.99,139,30
34,-23,82,-9,20
116,23.03,24.81,103,99
-22,147,59,-18.68,-40
10.88,61.05,6,-7.23,3.13
76,-10,24,108,-37
14.07,109,45.31,-2.59,33
5.3,124,38.45,-15,90
36.05,72.04,30,16,10.27
76,131,67.18,32,-47
143,37.83,4.3,19.96,59.45
-0.87,66.8,-15.24,9.49,24
44,60.47,31.95,36.74,-17.81
20,38.19,134,33.13,-8.66
-23.18,90,-19,50,-4.68
133,72.19,-13,-3,68
54.91,-24.1,-1.94,106,149
2,-18,-14,-18,90
53.29,32.93,-8,-47,19.96
34,57.79,-38,51,13.1
12.95,43.46,54.4,70.47,113
-35,-11.12,46,16,93
114,-5.74,4.98,-17.76,-4.95
-15,13.75,8.07,12,-13.41
142,65.21,3.83,-22,49
-42,29,136,43.13,64.61
37,-13.25,49,14.29,23.33
-9.59,138,59.59,55.47,3
-41,-22,40.31,64.09,40.82
51,1.25,70,136,139
12.49,24,-49,27.88,134
139,30,62,-21,47.1
109,55.42,97,-8,-35
-6,-18,127,-30,-1
99,21.89,82,40.56,54
56,39.11,-7.73,5,121
-15,-37,107,2,55.46
27.9,68,45.6,132,143
-44,26.38,25,77,55.38
23,8,43.55,21.12,23.63
13,50,-3.14,49,-42
68,22,-22,-50,-39
-32,69,42,42.52,2.83
34,47,16.76,18,131
26.11,85,45.8,-15,15
78,60,2,58.89,33
71,-13,119,50.73,71
135,48,59,95,-1.25
109,-4.46,14.99,10,134
15.51,11.5,92,-29,-35
112,127,-0.12,-18,41.88
57,-44,-16,85,54
37.2,-10.86,125,-12,36.55
68,-9.35,97,-6.9,-7.2
47,-10,46.31,39.43,4
7.84,66.15,-12.7,73,133
9.71,-0.47,25.74,119,62.25
12.12,69.93,-7,116,18.5
-20.62,132,56.24,91,66
32.89,-9,18.05,148,55
-0.41,11.96,25,75,32.03
-16,-12,-29,54,100
45.7,90,-13.07,-24.07,38
-18,91,25.02,21,-5.75
-23.96,-12.44,53,-7,101
11,118,-27,59.8,70.39
67.03,88,132,100,-39
17.45,-19,-18.94,18.53,116
-19.84,9,30.66,0.53,35
20,54,69.75,9,75
34.07,-6,79,50,103
13.91,117,-23,19.57,-36
41.02,49,-5,137,19
-27,43.1,17,73,107
13.26,29.63,38.54,0,137
59,22,19.65,3,-7
47,12.67,25.21,97,34.35
-16,74.29,68.98,37.44,130
