46,9,43.17,25.25,-12.91,74,-34,-3,77,147,-14,57.77,-8,113,73.75,82,-30,122,93,94,-17.59,120,133,-49,-16.84
-18.73,5.32,136,44.19,49,141,146,28.02,38.16,88,38.92,41.65,-0.49,-8,-41,96,-2,38,17.98,125,89,24.54,7.15,57,52.4
13,-50,134,147,-6.38,25.68,70.7,21,41,47.66,-43,51.11,-11,10.46,120,-19.88,63.35,61.63,28.85,43,77,117,35,-27,-8
133,24.13,-9.13,26,51.84,147,111,98,59.25,55.23,54,39.29,84,61.47,-31,-4.29,54,-19.91,34,38,6.87,40.15,-17.57,25.2,40
23.87,100,58.01,33,109,73.62,62.33,-37,16.55,-21,-22,105,102,6.32,62,-13,-20.63,-15.94,-23,92,-16.63,60.73,56.61,19.61,-29
4,74.92,40,65,4.43,110,7.11,50.8,32,-11.77,36.33,93,135,23.38,-34,45,11.65,129,66.96,19.51,29.27,-48,37,10,33
113,32,-14,17,-13.17,55.16,-4,2.37,33.56,-28,1.39,4.08,44.99,76,4.4,-9,9.26,99,102,-5,7,-24,-23.82,45.63,51.86
130,-22,44,-4.72,32,20.83,79,67.43,12.5,81,-45,93,84,112,6.81,19,20,17.13,104,-8.74,17,147,-24,-24.32,53
110,13,-20.63,73,-38,34,39,33.08,114,37,147,-5.17,144,36,-39,-37,7,125,-7.15,66,71.97,7.26,-19.01,24.15,-37
38.17,32,14,-20.04,8.72,1,94,50,47.68,93,54.97,70,107,44.8,125,116,122,145,14.68,138,103,101,56.02,49,-11
107,-5.95,2.75,-40,-26,-34,12.8,-9.17,-4,59,23,81,7.36,5.67,-25,24,-14,-16,41,49,46,77,60,-1,98
-2.11,117,39,141,59.86,126,-5.5,119,147,78,115,21.15,-17,84,-21.19,70.49,-2.81,140,-21.57,94,146,143,60,106,-20.21
-5.37,101,25,126,135,54.58,42,52.77,34.99,-20.78,67.89,130,21.32,48.41,-26,33.67,67,60.52,114,131,3.33,142,122,-1.32,136
139,8,68.84,73.63,51.61,141,61.34,136,54,-4,70,40,7.24,42.1,126,36,25.08,-17,-3,40,124,-12.74,-20.92,68,50
-39,128,56,93,-8,-14,144,-1.92,23.64,50.85,88,45.84,24.03,2.98,70,-20.68,131,48.69,26,-29,-3.43,106,55,-4,41.06
58,130,6,-2.83,44.74,-23.27,136,15.71,-50,10.9,8.9,76,1,141,35.83,-11.06,73,14.42,44.8,-7,48,31.42,-2,39.5,128
65,-9.93,40.61,137,91,35,13.18,102,30.89,48.85,-6,25,113,51,138,33,-43,-20.55,-14.69,40,39,139,30.63,73,51
-4.34,63,-7,9,73.64,27,13.2,98,9,-23.72,77,32.66,3.78,57.58,29.82,29,-5.06,-2,-1.77,-2.59,89,80,94,120,51.01
72,125,-3,57.08,78,1,37,6,65.98,64,-11.27,111,95,1.04,10.5,-46,67.47,59,5.05,87,15,66.22,-12,47.02,-2.94
126,66,-12.89,24.43,-4.8,50.51,68,49,1.44,15.1,98,36.65,93,-8.05,68,48.7,124,-21,140,15.15,115,68.53,48.42,141,36
-25,-22,-15.43,52.97,7.12,23.18,-18,-17.63,22,88,125,-16,25.7,-8.55,124,-37,-3.79,50.37,7,-19,30,-15.68,-38,-8.12,-19.22
