-27,85,94,28.13,82,146,4.58,93,22.88,24.49,-37,142,39,45,21.59,-42,-13.09,-37,91,31,145,90,7.15,103,146
17.26,127,10,32.02,99,39.66,108,-48,-6.98,84,8,67,1,100,57,17,143,128,88,70.49,-3,2.67,-29,44.42,-19
-26,12.69,11.06,36,18,134,14.86,28.81,-33,72,42.53,-6.54,-13.27,8.42,40.15,-11.92,-8.17,-22.87,95,2.66,58,26.69,34.58,65.65,-20.3
-3.29,5,-42,-15.65,4,72,138,34.32,132,33.82,-1.19,107,48.84,65,3.29,47.98,67.9,71.94,146,104,25,-42,84,-8.4,80
111,33,82,-17,74.05,53.14,74.17,9.42,37.76,72,102,141,54,65,-10.98,68.25,25,30,-15,6.23,47.65,24.92,-1,138,45
-16.46,38.9,55.85,116,62,41,70.41,-48,-16.6,-9,61,-6.37,-13.26,72,70.87,66,-39,-46,123,23.81,86,9,-33,62.38,43.28
74.32,80,-18.91,-21,-38,-16.83,80,40.18,31.94,29.24,-7.76,56.93,9,31.01,21.69,17,-41,-50,96,39,60.28,44.97,15.82,128,72.7
61.95,-10.41,70.4,67.33,-45,43.25,27.36,77,-12,5.13,-15.31,-12.22,60.26,73.41,40,123,-11,-37,22,65,3.68,6.93,43.32,35.87,-20.65
68.11,-5.17,37,52,-23,-22.69,1,58.82,-34,16.57,31,-12.67,41,-2.61,48.03,43.39,127,12.8,30.31,5,-20,110,146,47.63,145
25.89,-22,-19.84,11.96,-2,65,123,69,-7.92,44.25,104,-14,35.26,32.95,-44,143,10,-5.79,147,-31,15,137,70.51,-16.43,89
62,84,-5,-3,25.5,-21,57,-14,53.33,8.84,-23.93,19.35,-23.09,23,-4,54.45,-26,19.33,64.68,70,146,46.84,140,14.06,143
39.81,98,-3.83,51,8.2,54,-11.73,44,15.01,110,104,71,25.77,24,135,1,99,49.77,54,125,57.44,9,-35,77,64
2,1.72,-6.04,2.93,48.29,45.43,40,72,113,40.21,31.2,40.06,82,-35,-49,132,23.06,130,148,-41,-3,108,67,-19.27,91
4,60.33,-14,-6,-0.91,62.02,74,13.55,20.72,98,74.93,-27,-4.12,8,50,78,46.78,-29,18.9,80,20,-46,52.38,77,-12.58
19.19,149,64.57,95,4.51,19.6,-32,25.79,-16,-37,-48,-18,-49,-23,-16.34,80,66.19,97,-26,43,59,28,0.06,45,-29
11,51.48,20.41,65,43,52,-48,49.09,95,89,71,36.25,-24.24,-13,-7.13,-2.23,59.98,134,147,50.4,-20.69,-30,-4.43,149,28.32
131,11,-8,54,66.6,39.57,59.4,-22.4,56,-24,30.07,-9.15,57.3,59.44,-20,42,39,4,124,-7,-22.26,89,2,19.49,7
135,64,60.68,2.93,72.72,14,-0.2,3.58,65,124,-17,19,25.1,-11,-13.29,16.3,8.2,4.45,-24.05,54.75,-2,68.2,111,-49,120
92,23.43,13.7,41.06,67.79,-29,44.35,55.08,19,-15.92,55.03,-38,44.36,92,-15,71.48,118,-16.29,58.2,80,49,63,5.13,-2.51,-30
