42,90,36,45,-5.22,-22.83,5,5.04,64,-36,-6.45,17.73,4.54,3.58,63
-33,-44,-23,54.77,15.93,49.02,45.86,141,65,5,-15,-7,52.52,-19.43,74
53.66,-48,5.4,-40,86,-2,3,-20,2.83,-21.06,-48,17,47.1,-2.85,52.3
9,31.64,125,59.38,43,46,56.86,27.37,35,-5,-21.62,100,-41,-22.84,-12.67
71.57,142,-42,71.43,63.29,117,121,40,62,58,70,-0.36,88,11.77,-36
-10,82,69,73.45,2,-11.37,-3,17.97,50,39,118,28.62,2.22,46,40.6
26,60.77,32.26,48,20.43,94,8,42.13,-2,-14,-34,19,-18.57,-24.74,121
125,-16,43.97,82,36.12,88,63.89,74,108,68.09,3.93,72.08,144,55,-26
37.85,62.55,55,96,44.03,57.63,27,32,72.68,100,37,22,132,11.07,113
82,5,37,57.85,-17.1,5.97,-9,35,-33,30.29,-43,-2.09,136,11.59,129
3,132,-23,0.24,35,19,65,100,55.87,0,20,16,-12.31,131,68
74.1,-7.2,56,-42,51,-20,50.03,4,88,136,67.77,62,-22.68,58.13,-43
89,10,117,27,-11,85,-13,18.66,13,92,61.98,79,29.46,-2.67,66
40.38,121,72.35,69.5,13.85,111,1.57,0.03,55.43,-8.37,4,71,7,0,63
-38,51,34,63.98,78,29,-34,84,22,91,113,98,17.71,142,21.8
88,-3.89,52.38,16.94,51.37,6.66,27,-22,49,61,31.22,144,97,123,33.07
57,-14.97,82,48.85,0.42,148,-4.47,27.01,63.08,-13.95,-3.1,16.49,9,-12.39,75
137,-20.52,132,137,28.75,10,-13.35,-17.13,-21,139,118,16.41,-11.24,12.92,93
84,-20,122,-6,8.68,8,-36,143,2.14,-40,47,25,2,76,63
56.71,4,92,18,54.62,95,-41,-5,-8,142,122,14.41,-15.98,-13,23
22,49,33.78,42,-48,-6.64,-3,-25,-3.86,-39,19.88,67.49,-17.58,41,100
-3.26,3.02,34.6,-10,25.54,57.55,106,-1.17,-24.6,81,74,0,-48,-12,-40
-38,-4,16.68,23.08,34.05,110,14.67,5.63,1.7,3.84,50.58,-23.39,-5,15.92,20
23.37,94,42.4,106,0.57,49,83,13.79,64,-3.75,63.5,22,-4,29.36,97
90,50.8,-50,-9.06,59.76,48,135,-39,54,143,39,8.45,93,148,3
16.64,46.03,107,-13,111,8.21,-33,22,139,142,22,60.83,70.88,-14.95,9.14
65.19,42,50.87,26.64,35.47,41.26,-40,-16.98,-3.96,6.63,43,22.29,79,84,61
91,31,34.42,60.17,77,31.82,-21.51,-4,-12.56,108,70,106,72,97,99
45.6,61.58,137,139,-40,115,-0.68,44.74,67.7,55.72,57.24,-43,78,52.67,-4.51
-37,66.74,37,44.41,-20.62,51,108,64.66,-15.88,57.52,40.65,1.28,-10.87,73,-45
147,9.44,-9,68.99,59,-45,58.41,58.41,-28,-23,140,-43,110,-32,81
-15.15,26.83,-43,39,4.57,109,47,56.57,30.91,23.31,-3,143,8.16,-24.39,17.46
47.35,-36,10,59,-28,-32,25.28,127,73.74,35.37,-43,-0.85,36.79,72,77
109,73,52.97,-1.74,-2.41,145,-15,141,100,-42,-2,117,42.16,-49,19.34
89,47.21,-2.32,12,-7,-19,115,69.29,-27,38,50.88,119,72,-24,-23.49
67.44,24,132,55.47,14.85,11,75,11,12.06,8,13.94,130,2.21,123,-14.63
24.94,65,79,42.56,78,37.3,8.3,-17,26.08,67.04,-7.04,132,-21,1,35.59
45.55,10.88,-20,75,-13.39,-34,138,30,47.25,59.08,5,132,106,-27,51.98
91,69.14,85,60.19,88,8.82,91,69.13,52,8.9,43,30.77,6.19,-7,68.82
113,-2.3,-6,25.73,73.19,-5.12,46.96,-19.56,-14,-16,31,-5.18,21,93,12
92,32,45.17,29.26,-18,144,12,-41,87,-24,119,58,28.72,-8,-38
56,10.21,74.31,75,-15.93,11.92,25,2.18,127,131,4.3,52,12.16,20,13.13
56,105,-50,18,145,91,92,-10,138,-27,36.38,-6.86,38.59,1.45,-32
60,4,5,140,-2,94,-19.65,119,43.84,-30,-31,-34,81,7,30
13,-11,76,37,101,20,-1.55,1.98,19,43.93,32.73,56,-44,-40,65.39
54,51,-10.9,-30,132,64,26,65.81,-11.26,66,70,32.72,2.94,147,-38
53.25,40,-11,49,13,109,-20.86,61.77,19.19,-9.88,57.79,142,-50,-3.38,-16
-22.07,34,108,13.55,91,70.61,131,82,27.42,-6,19,-20.46,-7.99,54.16,46.32
-21.3,62.28,89,81,85,22.08,-14,-4.93,-14,-19.43,31,69,56,-21,138
73,-11.08,2,65,64.3,14.2,54.99,132,-7.44,72.7,17.62,53.98,93,-5.79,98
-18.79,14,-17.56,36.25,29,122,59,4,98,-18,-22,124,54.85,-10,63
60.86,32.7,113,14.35,52.88,68,-6,-24.68,30.38,-34,-20,79,-0.83,-12,-20.23
38,35.96,64.3,54.36,52.46,50.06,-20,-3.04,-3,-9.85,2,29.92,80,84,43.49
27.98,-9.16,30.13,26.25,73.08,24.26,59,41.2,37,141,95,4.58,37,109,-18.04
15.04,4.84,104,50,30.92,-43,3.67,52.46,11.68,3,102,-43,39,35.42,18.18
40.21,107,85,130,149,-46,47,-2.03,10,-9.44,66.85,19.06,46.5,30.24,-20.13
101,136,-0.31,5,54.97,51.08,-18.03,36.52,29.11,49,4.3,147,38,-14,131
-19,60.5,8.66,58,119,13.97,45.66,43.13,48.03,23.09,23,18.5,68,47.35,107
-45,141,2.67,106,45.69,22.1,-14.82,105,47,36.93,14,3.75,-0.49,29.97,42
44.96,54.13,74.33,66,26.73,67,25.79,80,52,39,44.82,17.7,-17,-10.6,-8.08
39.88,-13,-14.9,84,12.54,53,20,3,-36,27.51,-31,81,-24,-1,70.47
3,-11.88,3,148,-3.59,87,10.84,20.3,43.23,-12.55,3,49.65,-39,125,104
3,17.46,124,65,-29,-45,-1.43,139,19.24,63.65,57.1,104,-4,-7.84,98
13.95,0,-7,24,96,119,25.89,64.85,122,3,41.25,70,-12,61,62.38
32,110,7,-1.73,-38,129,95,5.4,41.91,41,63,144,53.3,37.79,26.23
95,-43,9,42.81,15.49,64.89,14,-1,-16.34,1,124,8,56.15,102,17
109,-10,61,85,51,99,43.21,9.36,20,-10.47,-5.62,-50,41,-17,49.53
107,142,148,54.09,113,14.23,141,27.49,32,0.9,122,-38,-1.7,-20.38,8
9.4,87,-7.49,19.92,105,142,78,3.71,126,96,57.41,23,9,-40,148
78,27,39,48,-26,25,16.89,-2,92,65.44,73.16,144,125,-7.39,23.36
38,112,47.93,148,144,-16.92,93,11,18.89,116,138,51.1,57.58,49.95,52.94
122,134,41.14,83,24.54,-47,55.62,58.05,25,25.58,70.97,-0.31,37,45.47,5
-12.89,28.09,32.36,31.64,6.92,-19,36.56,54,-7.73,-24.29,-12.86,61.02,-47,-47,50.4
-27,-12,24.48,116,141,36,60.9,80,67,-13,103,-3.08,-0.04,-31,45.07
