-9.24,-5,-20.96,-31,20
91,90,90,-10,26
47.46,32,13,71,65
31.57,-16,-36,-46,144
45.72,-25,146,-16,36.85
-34,15.07,-5,50.97,-22.7
20,25.47,41,106,0
33,123,0,19.15,68
20,20,6.15,40.32,35
5.41,11,41.36,-8.33,34.02
62,136,42.05,128,-15.73
-22.74,21,69.52,72.3,-8.62
36.87,4.57,99,60.51,-9
16.35,8.06,84,4,109
15.9,-2,42.95,-17.69,-18.26
-10.81,81,-10.36,56.71,68.41
20.73,61.43,27.49,63,55.93
-35,71,-43,-34,38
4,105,4.64,46,39.99
23.32,50,66.42,7,23.78
-22,-14,21.72,87,26.58
9.03,120,-40,-39,28
47,-0.9,-20,12.26,-49
22.86,-42,77,44.18,41
47.93,17,140,6.75,74
25,-9,100,3.44,108
40,67,56.73,-12,-32
64,15.19,44,-4.79,-11.35
136,148,121,5.36,53
79,32,35.99,-47,20.59
139,36.52,38,72.32,13
36,-21,-15,19.15,-17
-26,4.97,6.45,6.24,74.74
4.15,44.31,70.25,72.81,33
-4.93,86,-27,144,26.41
54.9,99,34.33,142,129
54.61,1,3,140,-7
26.48,63.36,23.52,45,138
36.76,58,77,58.46,96
10.51,-45,110,40.76,-17.84
71.95,52.59,74.87,49,79
23,10.21,-4,103,-10
9.57,13.01,-11,126,-5
21,28,69.83,-21,149
-41,125,26.27,16.09,51.1
16.77,61,58,61.1,149
116,-45,146,2.12,-17.67
140,105,54,-3.8,39
94,-26,147,129,70
3,84,85,-10,103
83,60.47,49,-18,-32
64.78,45,148,64,139
137,12.6,-11.85,-47,71
-0.26,132,32.9,60,-30
43.92,26.93,37.67,91,32.19
49.11,13.22,97,-22.43,4.85
-13.69,59,-29,-16.74,62
84,50.52,79,1.99,90
-17.39,85,64.97,41.19,1.48
-31,131,27.33,4.19,-4
14.77,-42,-30,-8.35,73
110,109,114,86,6.11
52,122,6.1,-4,92
-30,54,-20.9,141,62.36
69,73.72,-26,72,7.3
68,-20,63,54,17.97
83,-2,-23.4,109,103
91,74.82,16.75,23.19,-32
-15,35.35,141,147,120
16,-35,-50,-20,2
-9.75,118,-6,-6,105
20.06,10.9,130,143,55.95
136,32.54,71.19,-3,40
3.87,80,86,28.87,126
25,24,3.4,139,67
68,46.43,27.97,-2,49
128,-27,-24.99,43,-1.32
120,33.72,-16,29,10
10.69,61,71,114,10
111,26.72,-23,-12.43,64.26
7.96,9.81,74,113,50
50,61.98,23.2,31,-28
83,-3.77,-4.21,-22,48
64,-6,19.14,-12.45,111
13.27,92,55.58,47,-4.85
-22,5.29,-15,-18.7,12.73
5,36.28,143,58.89,141
99,43.88,6.12,24.22,44
67.95,-3,-31,4.43,122
1,21.62,85,60,136
17.97,-9,131,21,38
31.57,0.43,20,48.74,23.95
30.82,20.44,-26,55,-49
21.62,40.71,4.48,-2,-16
116,136,63,66.57,56.39
37.19,59,20.82,149,-17
25.85,8.94,135,101,30
-2,-44,37.51,11.79,144
82,32.8,-33,62,62.77
140,74,141,64,-29
