82,72.36,139,75,115,137,-3,-23
-24.33,-9.54,52,5.91,47.73,135,-4.19,23
127,46.11,-0.35,79,73,19.89,-1,7
39,-2,118,15.33,13,17.04,-13,74.58
56,97,3.93,-7.34,79,8.59,-39,58
-49,-34,26.14,38.68,-38,69,53.92,37.01
64.18,-20.38,-15,73,35,32,42,-1.52
57.18,79,129,-2.15,27,63.92,5.59,-21
-10,5.51,-37,-13,23.68,41,71,35
-15,79,27.93,-24.64,88,135,-37,14.27
7.62,55.86,3,-5,100,45.29,-47,16
63.85,86,103,13.12,37.6,32.35,6.18,14
-4.43,9,29.79,29,-43,-15.03,72.59,1
82,43.75,68.75,49.11,-43,30.65,40,108
-6,76,61,50.46,16.92,51.06,-11,48.49
-9,102,36.38,110,-16.91,91,135,58.97
23,1.84,47,33,-36,21.96,-21,57
-5,49.24,22.8,17,144,62,139,12
143,99,118,-30,-46,88,45,46.23
4.91,110,66,-28,-2,53,97,-8.1
21,8.8,145,10.65,24.17,24,110,87
-21,23.24,105,-43,99,15,-10.92,20.31
49,70.77,53,80,-17.25,35.92,14.08,22
38,117,145,55,-17,71,39,-4
10.78,-12,48.6,77,123,137,100,13
118,20.28,53.24,59,-7.2,123,68.89,-10.42
-5,-36,125,28,16,135,49,32.28
122,104,71,10.22,-6.59,68.4,-22.46,98
96,139,22.9,55.09,57,-21,67,70
121,14.64,-18.16,8.31,143,46,-11.39,61.44
15.38,20.2,33.12,112,80,-34,96,-3
34.03,-5.3,-44,6,32,37,3.95,76
-15.63,-24.32,52.5,-27,64,121,76,31.63
-45,35,32.2,41,144,69.69,43,16.32
-12,44.76,6,34,59.35,-9,-24.35,-13
-3.75,145,10.13,-6.78,109,29,49,70
54,-9.54,-32,41,9.48,26,25.42,125
109,85,65,-5.91,118,-44,121,41.17
-15,129,0,-44,-3.46,70,80,11.46
58.49,56.21,40.12,40,33,18.96,72.91,9.91
42.48,24.09,20.51,5.78,-18.28,60,66,80
17,-10.38,-5.87,4,45.94,134,144,-31
31,135,31,12,35,37,18.24,57.7
75,63.12,14,41,10,28.04,38.03,34.51
-25,39.4,27.79,135,53.55,99,22.89,71
18.17,-28,60.36,44.61,114,0.4,-12,30
-1,-40,82,23,-16.38,-0.89,-9.9,33.61
29.9,40,113,53.04,91,64,104,-20
-38,14,75,61.12,114,50,-11.62,-21
-15.27,28.84,-23.62,-16.27,18.04,47,93,6.77
-12.65,75,68.69,135,66,-5,147,1.09
-5.54,-29,62.43,81,15,-11,-29,146
94,47.33,46,24.25,59.45,49.16,12.59,-12
-11.28,12,-22,127,59,30,142,39
87,21.18,21.18,76,48.19,25.26,-28,60.35
16,-47,-15,120,64,-2.45,72,-11
-45,127,-19.31,21.02,22.63,61,39.2,61.88
-36,37.43,69.59,98,0.45,31,56,74
42.36,28.35,-20,137,6.39,145,-21,52
-14,141,-21,-36,20.83,32.29,-45,24
68,-3.5,39.29,-29,82,143,48.3,-3
-4.06,-9.96,36.62,41.19,66,-2,52.78,73.95
2.63,-9.73,8.21,126,46,-27,-19,34.86
-23.29,137,70.57,57.11,27,-16.61,41,-11.53
26,47.33,43,54.99,-17.38,-3.31,71,17
0,36.82,-16.79,28,-22,54.14,22,34
25.08,41.85,113,123,-30,-39,46.74,66.56
36,-22,54,30,74.74,43.97,78,41
24.16,-17,35,43,-13.91,35,115,88
