9,5.8,85,-3.81,44,93,-23,57,55,-6.48,-41,98,49.12,135,21
-3.08,49.12,-46,49,20.1,-39,-36,34.9,-29,141,6.65,5.38,-44,-13,51.65
52,13.95,76,39.03,39.63,110,26,44,140,20,-9,-10.18,1,68.31,-27
-31,24.75,-23,99,63,-0.97,-10.77,58,109,5.93,-1.9,-11,21.51,30.62,37.56
93,9,24,22.09,28.56,18.54,14,59.7,-9.79,-4,84,3,21,144,28.49
8,50,27.31,22,149,-24.54,68.04,43.23,63,142,24,16,-43,138,-15.76
0,-0.37,-9,-46,19.59,67.23,27,-14,-9.35,-9.69,82,30.26,28.13,37.91,5
-14.23,-49,96,45.54,78,11,62,54,74.99,-9,70.02,-12.02,80,79,-28
4.82,0,-36,142,7.57,31,119,14.83,-35,3.54,71.94,75,54.46,-7.81,20
-13.85,-23,2.94,91,144,148,16,-22.26,37.82,41,137,120,57.77,20.94,-4.41
32.89,-19.4,109,-17.2,123,3,-26,-39,33,-9,42,-16,37,32.06,49.24
-23,1,-24.53,109,31.59,27.74,115,76,124,71.81,9.23,-3,-31,-19,51.55
44.69,19,142,-19,62,141,118,16.84,64,-2.8,68.32,19.38,26.27,89,29
22,59.9,-9,53.33,-9,17.13,61,2.63,17.28,91,54.26,70.64,-2,12.9,55.36
2,126,48.59,119,14.42,43.01,39.32,14.12,88,9.43,126,-13,-24.76,23,121
110,94,30.91,140,3,23.8,-41,-47,1.35,-22.75,13,62,52,52,43.73
-45,149,123,-9.47,-33,-21,-21,-13,66.69,23,32,-12.46,12.2,111,16
-10,-16.31,-30,50.45,70,119,24,-17.93,-41,63.03,129,27,-22.11,18.38,-8
108,2,23.96,-17,16,4.69,-44,84,28,38.66,107,69,122,-11,96
64,-17,58,44.36,-16.17,19.02,146,95,70.52,31,22,71.64,66,-13,97
80,1,13.56,122,13.2,77,-13.38,8,93,138,45,64.4,-16.13,55,49
2.5,43.39,-21,20,20,14,10,149,-11,-14,-12.08,-0.39,53.64,-23.6,-33
-8,-9.97,71.23,-17,-7.1,-37,-21.13,5.65,71.61,86,43.94,44,-44,43.14,67
54,35.37,89,18.14,52.66,57,90,127,43.89,53.07,-11,11.09,14.95,-14.8,38.32
75,122,72,22.77,105,17.72,55,-2.13,-37,1,46,64.1,114,138,-43
147,71,-26,19.41,133,22,36.25,-21,54.44,51,55,92,45.07,17.75,-45
2,-14,30.67,95,8,5.13,73,31.76,99,43,67.8,32.51,66,111,29.04
57,-4,122,37.92,48.25,99,50.79,-10,5,34.57,-2,68.15,-3.73,74,43.85
132,56,116,0,23.14,-43,119,38.44,26,4.1,106,36,-24.6,-1,82
63,91,66.34,134,44,-24,12,43.12,44,-0.37,71,44.01,32.15,141,45
-1,56,114,8.53,27.27,79,81,-41,75,92,65.49,3.52,70,48,133
140,8.27,-11.53,8.8,131,102,54.64,67.11,30,-1.38,64,-3.41,-12.07,34.02,129
