68.25,-24.77,93,-10.93,-39
-47,3,50.19,99,63.67
77,101,-7.4,99,121
71.69,124,32,83,8.73
25,30,37.39,23.29,116
-3.15,40.33,-16.18,-10.46,-17
10.24,29.8,13,121,21.99
7.63,-3,61.71,-38,18.37
-42,-14,144,15,134
56.18,67.74,34.06,62.36,124
20.64,0,6.77,107,27.42
68,91,14.52,14,86
97,-18,14,14,26.89
-29,16.1,53.46,36.43,-45
23.21,72,-6.04,-20,36.07
-6.45,54.83,-39,-16.3,78
-8.46,10,7.01,2,64.46
-9,-20,25,32.22,118
5,-50,-22,18.59,17.58
-4.32,23.95,51,58,18
49,-3,145,43,1.85
68,60.62,77,48,95
-27,-17.8,-6.49,38,-3.56
50.89,73,110,47.24,46.19
12.94,5.78,62.63,66,9.09
28,86,70,20.45,91
-15,-20.04,-44,15.12,45
-33,71.17,91,46.53,101
28,67.57,119,-11.11,23.12
-0.23,-6,33,33,78
57.48,6.34,55,36.13,-48
-0.33,17.33,99,-17.69,44
62,-6.01,29,15.9,109
-10,45,8.62,137,-29
65,-3,54.67,17.29,66
27.03,62.76,117,97,68.35
-17,-14.37,137,31,52
-27,87,-24.55,-35,-3.33
87,18.88,-12,-9,49.59
20.74,6,27.47,72,106
-24,134,144,-33,139
-27,-18.14,-42,41,89
54.3,57.73,28,33,92
8.91,48,48.14,-11.75,65
46.95,5.61,-18,143,105
69.66,-12.96,37.91,98,12.49
37.58,35.82,-22.51,48,-19
91,18,-5,26.73,116
126,12.67,-18.88,60.18,20.29
81,21,27.3,-17.84,-20
-22.62,8.53,24.21,104,-5.69
147,-33,-20.49,63.28,2
6,55,133,63.8,62.26
43.19,-2.8,25.49,33.11,80
105,6.51,89,43,130
-31,41,11.72,33,129
63,74.67,64,106,-23
114,21,49,28,19
32,26.27,16.87,86,101
62,84,58.89,41,59.98
78,19.96,46.49,42,27.23
56,8,49.45,45.06,31.33
-24.85,122,19,25,38.24
33.7,-32,72.63,0.87,8.69
67,127,26.68,-18.91,-8.95
-21.65,118,73,32,71
148,-19,-23.25,130,42.5
-0.87,-6.22,-48,86,37.81
72,76,-46,68,20.37
-20.96,37.14,143,35,26.95
-13.8,45.82,97,128,51
41,43,-2.98,129,-35
95,3.43,65.26,38.35,-26
63.8,-13.47,112,57.27,16.94
-23,77,-2,-22,49
8,17.28,19,-24.14,-18.16
106,34,130,80,145
118,48,72.51,22.08,15
1.01,-13,38,-2.18,42
111,13.15,8,45.64,56
53.36,10.25,44.08,17,66
18,134,80,19,-2
-13,-6.43,-17,14.65,-37
0.48,47.93,-28,3,84
-18.14,142,98,133,134
53.91,67,39.01,58.5,0.18
2,64.35,82,29.55,88
-40,144,140,-9.75,36.22
17,33,105,-23.54,-0.89
-46,2.97,139,-13.01,84
23,26,0.8,141,34.59
80,-9,-46,32.47,106
59.24,-4,7,128,99
57,33,87,-4.5,33.98
148,71,124,81,68
128,49.74,113,-32,123
30,6.44,22.85,48,-17
147,25,16.59,-1,18.11
-2.08,141,61.74,11.14,30.34
25.95,66.44,134,94,20
